"YEAR";"SEX";"AGE";"GEO";"POPULATION"
2015;"Male";0;"Budapest 01. kerület";645
2015;"Male";0;"Budapest 02. kerület";2543
2015;"Male";0;"Budapest 03. kerület";3255
2015;"Male";0;"Budapest 04. kerület";2599
2015;"Male";0;"Budapest 05. kerület";485
2015;"Male";0;"Budapest 06. kerület";797
2015;"Male";0;"Budapest 07. kerület";990
2015;"Male";0;"Budapest 08. kerület";1636
2015;"Male";0;"Budapest 09. kerület";1444
2015;"Male";0;"Budapest 10. kerület";1972
2015;"Male";0;"Budapest 11. kerület";4133
2015;"Male";0;"Budapest 12. kerület";1819
2015;"Male";0;"Budapest 13. kerület";3175
2015;"Male";0;"Budapest 14. kerület";3338
2015;"Male";0;"Budapest 15. kerület";1735
2015;"Male";0;"Budapest 16. kerület";1818
2015;"Male";0;"Budapest 17. kerület";2161
2015;"Male";0;"Budapest 18. kerület";2530
2015;"Male";0;"Budapest 19. kerület";1501
2015;"Male";0;"Budapest 20. kerület";1577
2015;"Male";0;"Budapest 21. kerület";1740
2015;"Male";0;"Budapest 22. kerület";1344
2015;"Male";0;"Budapest 23. kerület";497
2015;"Male";0;"Aszódi járás";954
2015;"Male";0;"Budakeszi járás";2654
2015;"Male";0;"Ceglédi járás";2110
2015;"Male";0;"Dabasi járás";1260
2015;"Male";0;"Dunakeszi járás";2475
2015;"Male";0;"Érdi járás";3058
2015;"Male";0;"Gödöllõi járás";3999
2015;"Male";0;"Gyáli járás";1058
2015;"Male";0;"Monori járás";1861
2015;"Male";0;"Nagykátai járás";1624
2015;"Male";0;"Nagykõrösi járás";655
2015;"Male";0;"Pilisvörösvári járás";1483
2015;"Male";0;"Ráckevei járás";759
2015;"Male";0;"Szentendrei járás";2053
2015;"Male";0;"Szigetszentmiklósi járás";3251
2015;"Male";0;"Szobi járás";653
2015;"Male";0;"Váci járás";1759
2015;"Male";0;"Vecsési járás";1324
2015;"Male";0;"Bicskei járás";868
2015;"Male";0;"Dunaújvárosi járás";1946
2015;"Male";0;"Enyingi járás";480
2015;"Male";0;"Gárdonyi járás";697
2015;"Male";0;"Martonvásári járás";661
2015;"Male";0;"Móri járás";793
2015;"Male";0;"Sárbogárdi járás";663
2015;"Male";0;"Székesfehérvári járás";3574
2015;"Male";0;"Esztergomi járás";2219
2015;"Male";0;"Kisbéri járás";402
2015;"Male";0;"Komáromi járás";825
2015;"Male";0;"Oroszlányi járás";614
2015;"Male";0;"Tatai járás";897
2015;"Male";0;"Tatabányai járás";2109
2015;"Male";0;"Ajkai járás";796
2015;"Male";0;"Balatonalmádi járás";492
2015;"Male";0;"Balatonfüredi járás";445
2015;"Male";0;"Devecseri járás";298
2015;"Male";0;"Pápai járás";1274
2015;"Male";0;"Sümegi járás";309
2015;"Male";0;"Tapolcai járás";609
2015;"Male";0;"Várpalotai járás";834
2015;"Male";0;"Veszprémi járás";2062
2015;"Male";0;"Zirci járás";409
2015;"Male";0;"Csornai járás";630
2015;"Male";0;"Gyõri járás";4901
2015;"Male";0;"Kapuvári járás";457
2015;"Male";0;"Mosonmagyaróvári járás";1717
2015;"Male";0;"Pannonhalmi járás";378
2015;"Male";0;"Soproni járás";2463
2015;"Male";0;"Téti járás";321
2015;"Male";0;"Celldömölki járás";413
2015;"Male";0;"Körmendi járás";507
2015;"Male";0;"Kõszegi járás";496
2015;"Male";0;"Sárvári járás";743
2015;"Male";0;"Szentgotthárdi járás";287
2015;"Male";0;"Szombathelyi járás";2515
2015;"Male";0;"Vasvári járás";246
2015;"Male";0;"Keszthelyi járás";977
