"YEAR";"SEX";"AGE";"GEO";"POPULATION"
2004;"Male";0;"Budapest";35421
2004;"Male";0;"Pest megye";30793
2004;"Male";0;"Fejér megye";10427
2004;"Male";0;"Komárom-Esztergom megye";7536
2004;"Male";0;"Veszprém megye";8178
2004;"Male";0;"Gyõr-Moson-Sopron megye";10143
2004;"Male";0;"Vas megye";5956
2004;"Male";0;"Zala megye";6201
2004;"Male";0;"Baranya megye";9460
2004;"Male";0;"Somogy megye";7927
2004;"Male";0;"Tolna megye";5810
2004;"Male";0;"Borsod-Abaúj-Zemplén megye";20051
2004;"Male";0;"Heves megye";7681
2004;"Male";0;"Nógrád megye";5315
2004;"Male";0;"Hajdú-Bihar megye";14874
2004;"Male";0;"Jász-Nagykun-Szolnok megye";10247
2004;"Male";0;"Szabolcs-Szatmár-Bereg megye";16903
2004;"Male";0;"Bács-Kiskun megye";12890
2004;"Male";0;"Békés megye";8945
2004;"Male";0;"Csongrád megye";9734
2004;"Male";5;"Budapest";34032
2004;"Male";5;"Pest megye";33231
2004;"Male";5;"Fejér megye";11489
2004;"Male";5;"Komárom-Esztergom megye";8439
2004;"Male";5;"Veszprém megye";9570
2004;"Male";5;"Gyõr-Moson-Sopron megye";11082
2004;"Male";5;"Vas megye";6821
2004;"Male";5;"Zala megye";7385
2004;"Male";5;"Baranya megye";10168
2004;"Male";5;"Somogy megye";9052
2004;"Male";5;"Tolna megye";6563
2004;"Male";5;"Borsod-Abaúj-Zemplén megye";22747
2004;"Male";5;"Heves megye";8522
2004;"Male";5;"Nógrád megye";5965
2004;"Male";5;"Hajdú-Bihar megye";16217
2004;"Male";5;"Jász-Nagykun-Szolnok megye";11512
2004;"Male";5;"Szabolcs-Szatmár-Bereg megye";19692
2004;"Male";5;"Bács-Kiskun megye";14454
2004;"Male";5;"Békés megye";10125
2004;"Male";5;"Csongrád megye";10721
2004;"Male";10;"Budapest";39645
2004;"Male";10;"Pest megye";36486
2004;"Male";10;"Fejér megye";14222
2004;"Male";10;"Komárom-Esztergom megye";9980
2004;"Male";10;"Veszprém megye";11743
2004;"Male";10;"Gyõr-Moson-Sopron megye";13036
2004;"Male";10;"Vas megye";7964
2004;"Male";10;"Zala megye";8885
2004;"Male";10;"Baranya megye";12121
2004;"Male";10;"Somogy megye";10396
2004;"Male";10;"Tolna megye";8017
2004;"Male";10;"Borsod-Abaúj-Zemplén megye";25482
2004;"Male";10;"Heves megye";9826
2004;"Male";10;"Nógrád megye";6749
2004;"Male";10;"Hajdú-Bihar megye";18696
2004;"Male";10;"Jász-Nagykun-Szolnok megye";13598
2004;"Male";10;"Szabolcs-Szatmár-Bereg megye";21129
2004;"Male";10;"Bács-Kiskun megye";17567
2004;"Male";10;"Békés megye";12276
2004;"Male";10;"Csongrád megye";12905
2004;"Male";15;"Budapest";44338
2004;"Male";15;"Pest megye";35665
2004;"Male";15;"Fejér megye";14423
2004;"Male";15;"Komárom-Esztergom megye";10533
2004;"Male";15;"Veszprém megye";12322
2004;"Male";15;"Gyõr-Moson-Sopron megye";14849
2004;"Male";15;"Vas megye";8548
2004;"Male";15;"Zala megye";9664
2004;"Male";15;"Baranya megye";12980
2004;"Male";15;"Somogy megye";10902
2004;"Male";15;"Tolna megye";8340
2004;"Male";15;"Borsod-Abaúj-Zemplén megye";26551
2004;"Male";15;"Heves megye";10451
2004;"Male";15;"Nógrád megye";6656
2004;"Male";15;"Hajdú-Bihar megye";19352
2004;"Male";15;"Jász-Nagykun-Szolnok megye";13889
2004;"Male";15;"Szabolcs-Szatmár-Bereg megye";22044
2004;"Male";15;"Bács-Kiskun megye";17630
2004;"Male";15;"Békés megye";12920
2004;"Male";15;"Csongrád megye";13646
2004;"Male";20;"Budapest";59385
2004;"Male";20;"Pest megye";39412
2004;"Male";20;"Fejér megye";16213
2004;"Male";20;"Komárom-Esztergom megye";11420
2004;"Male";20;"Veszprém megye";14500
2004;"Male";20;"Gyõr-Moson-Sopron megye";17246
2004;"Male";20;"Vas megye";9311
2004;"Male";20;"Zala megye";10704
2004;"Male";20;"Baranya megye";14896
2004;"Male";20;"Somogy megye";11872
2004;"Male";20;"Tolna megye";8632
2004;"Male";20;"Borsod-Abaúj-Zemplén megye";27149
2004;"Male";20;"Heves megye";11345
2004;"Male";20;"Nógrád megye";7552
2004;"Male";20;"Hajdú-Bihar megye";20809
2004;"Male";20;"Jász-Nagykun-Szolnok megye";15025
2004;"Male";20;"Szabolcs-Szatmár-Bereg megye";22162
2004;"Male";20;"Bács-Kiskun megye";19545
2004;"Male";20;"Békés megye";13521
2004;"Male";20;"Csongrád megye";15502
2004;"Male";25;"Budapest";80854
2004;"Male";25;"Pest megye";49426
2004;"Male";25;"Fejér megye";19477
2004;"Male";25;"Komárom-Esztergom megye";14198
2004;"Male";25;"Veszprém megye";16146
2004;"Male";25;"Gyõr-Moson-Sopron megye";20634
2004;"Male";25;"Vas megye";11412
2004;"Male";25;"Zala megye";12369
2004;"Male";25;"Baranya megye";17147
2004;"Male";25;"Somogy megye";13497
2004;"Male";25;"Tolna megye";9981
2004;"Male";25;"Borsod-Abaúj-Zemplén megye";29132
2004;"Male";25;"Heves megye";13376
2004;"Male";25;"Nógrád megye";8909
2004;"Male";25;"Hajdú-Bihar megye";23671
2004;"Male";25;"Jász-Nagykun-Szolnok megye";17132
2004;"Male";25;"Szabolcs-Szatmár-Bereg megye";24171
2004;"Male";25;"Bács-Kiskun megye";22420
2004;"Male";25;"Békés megye";15584
2004;"Male";25;"Csongrád megye";18436
2004;"Male";30;"Budapest";65279
2004;"Male";30;"Pest megye";43834
2004;"Male";30;"Fejér megye";15864
2004;"Male";30;"Komárom-Esztergom megye";11773
2004;"Male";30;"Veszprém megye";12973
2004;"Male";30;"Gyõr-Moson-Sopron megye";16765
2004;"Male";30;"Vas megye";9834
2004;"Male";30;"Zala megye";10564
2004;"Male";30;"Baranya megye";14110
2004;"Male";30;"Somogy megye";11585
2004;"Male";30;"Tolna megye";8493
2004;"Male";30;"Borsod-Abaúj-Zemplén megye";24689
2004;"Male";30;"Heves megye";10969
2004;"Male";30;"Nógrád megye";7389
2004;"Male";30;"Hajdú-Bihar megye";20000
2004;"Male";30;"Jász-Nagykun-Szolnok megye";14128
2004;"Male";30;"Szabolcs-Szatmár-Bereg megye";20846
2004;"Male";30;"Bács-Kiskun megye";19126
2004;"Male";30;"Békés megye";13099
2004;"Male";30;"Csongrád megye";15170
2004;"Male";35;"Budapest";53004
2004;"Male";35;"Pest megye";39943
2004;"Male";35;"Fejér megye";14185
2004;"Male";35;"Komárom-Esztergom megye";10663
2004;"Male";35;"Veszprém megye";12299
2004;"Male";35;"Gyõr-Moson-Sopron megye";14503
